cancer_code,source_cohort,source_project,source_version,source_pmid,source_type,source_scale_class,linear_tpm_comparable,tumor_origin,metastasis_site,processing_pipeline,notes,n_reference_genes,n_reference_samples,selected
SARC_EHE,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,1,True
SARC_EPITH,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,5,True
SARC_ESS_HG,GSE85383_YOSHIDA_2017_ESS,GEO,GSE85383/GPL22303; unit=TPM proxy; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,GPL22303 series-matrix log2 intensity with GPL13497 symbol bridge to TPM proxy; Ensembl 112,Primary endometrial stromal sarcoma samples only: 9 low-grade and 4 high-grade tumors selected from the 25-sample study. UUS and LMS samples are excluded. Microarray-derived TPM proxy preserves gene rank but is not directly comparable to absolute RNA-seq TPM.,20105,4,True
SARC_ESS_LG,GSE85383_YOSHIDA_2017_ESS,GEO,GSE85383/GPL22303; unit=TPM proxy; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,GPL22303 series-matrix log2 intensity with GPL13497 symbol bridge to TPM proxy; Ensembl 112,Primary endometrial stromal sarcoma samples only: 9 low-grade and 4 high-grade tumors selected from the 25-sample study. UUS and LMS samples are excluded. Microarray-derived TPM proxy preserves gene rank but is not directly comparable to absolute RNA-seq TPM.,20105,9,True
SARC_EWS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,101,True
SARC_GIST,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,19,True
SARC_IFS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,2,True
SARC_IFS,TREEHOUSE_RIBOD_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 RiboDeplete (released Jan 2025; TPM matrix 2025-03-19). GSE294353.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_ribod_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"RiboD (ribo-depleted) sibling of treehouse-polya-25-01; 2,079 samples. Same builder works after pointing `--cache-dir` / `--tpm-file` / `--clinical-file` at the RiboD files. For raw values for genes in the single global technical-RNA panel can differ from PolyA by more than 10x. Clean TPM replaces that 9% compartment with the Treehouse PolyA reference composition for every assay. The physical cohorts remain separate source_cohort tags because clean TPM does not make the assays physically equivalent.",34476,3,False
SARC_IMT,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,4,True
SARC_KS,GSE241095_KS_SKIN_2023,GEO,"PMID 37740179 (Kaposi sarcoma skin lesions, Lidenge 2023); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,geo-matrix,linear_rnaseq_tpm,True,primary,,gse241095_ks_skin_2023_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,n=10 cutaneous KS lesions (sample IDs start KS_); 10 matched normals excluded by sample_filter. Companion GI shard adds another n=12 KS lesions if needed.,58375,10,True
SARC_LGFMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,2,True
SARC_LGFMS,GSE75885_DELESPAUL_2017,GEO,"GSE75885 (Delespaul 2017, PMID 28278311); unit=RPKM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,geo-rnaseq,linear_rnaseq_tpm,True,primary,,gse75885_delespaul_2017_rpkm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Soft-tissue sarcoma subtypes (DDLPS n=19, PLEOLPS n=4, LGFMS n=2) from the GEO processed RNA-seq matrix (GSE75885_Expression_117_sarcomas.tsv.gz), per-sample subtype from series-matrix !Sample_title. Per-sample build (#305) replacing the lost summary-only import. The 117-sample matrix also holds LMS/UPS/MFS/pleomorphic-RMS other sources already cover.",18905,2,False
SARC_LMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,151,True
SARC_LPS_UNSPEC,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,92,True
SARC_MMNST,SRP493407_MMNST_2024,NCBI SRA Gene Feature counts,NCBI SRA Gene Feature analyses SRZ3595337/SRZ3709728/SRZ3615119/SRZ3647871/SRZ3665545/SRZ3633285; RefSeq GCF_000001405.40-RS_2025_08 length reference; harmonized to Ensembl release 112; unit=NCBI Gene Feature count-derived TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,sra-ncbi-counts,ncbi_gene_feature_count_tpm,True,primary,,ncbi_sra_gene_feature_counts_refseq2025_gene_length_tpm_oncoref_canonical_clean_tpm_16_9_75,"Three primary MMNST tumors and three independent normal-nerve donor controls. NCBI-generated gene-count tables for all six runs are recorded in the build audit; only the tumor runs enter the SARC_MMNST reference matrix. The paper reports oligo(dT) mRNA enrichment, while INSDC metadata report random library selection. This ultra-rare n=3 cohort has thin tail estimates.",44446,3,True
SARC_MPNST,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,13,True
SARC_MYXFIB,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,41,True
SARC_MYXLPS,GSE30929_SINGER_2007_LPS,GEO,PMID 22241786 (Singer 2007 MSKCC 140-sample LPS classifier); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,gse30929_singer_2007_lps_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Affymetrix HG-U133A (GPL96) microarray; 140 primary liposarcomas from MSKCC, explicitly histology-tagged via char_subtype: 52 WD-LPS, 40 DD-LPS, 20 pleomorphic, 17 myxoid, 11 myxoid/round-cell. The round-cell variant IS high-grade myxoid LPS (WHO grade III, same FUS::DDIT3 fusion entity), so both collapse to SARC_MYXLPS (n=28). Builds 4 shards from one cohort via sample_include_regex (matched against char_subtype). MYXLPS biology validates: FABP4 2799 / ADIPOQ 917 / PPARG 424 (adipogenic program), FUS+DDIT3 both ~165 (fusion partners both expressed), STAT3 253 + JAK1 207 (FUS-DDIT3/JAK-STAT axis per PMC8851354).",13653,28,True
SARC_OS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,262,True
SARC_PEC,GSE328026_PECOMA_2026,GEO,"GSE328026 (PEComa TPMs, public Apr 2026); gene-id-type=hugo; unit=TPM; harmonized to Ensembl release 112; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",PMID:42331846,geo-matrix,linear_rnaseq_tpm,True,primary,,gse328026_pecoma_2026_tpm_to_tpm_ensembl112_clean_tpm_16_9_75,PEComa TPM source matrix n=69; released reference artifacts use 66 sample_expression_qc_v3 pass samples; harmonized to Ensembl 112.,21446,69,True
SARC_PLEOLPS,GSE75885_DELESPAUL_2017,GEO,"GSE75885 (Delespaul 2017, PMID 28278311); unit=RPKM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,geo-rnaseq,linear_rnaseq_tpm,True,primary,,gse75885_delespaul_2017_rpkm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Soft-tissue sarcoma subtypes (DDLPS n=19, PLEOLPS n=4, LGFMS n=2) from the GEO processed RNA-seq matrix (GSE75885_Expression_117_sarcomas.tsv.gz), per-sample subtype from series-matrix !Sample_title. Per-sample build (#305) replacing the lost summary-only import. The 117-sample matrix also holds LMS/UPS/MFS/pleomorphic-RMS other sources already cover.",18905,4,True
SARC_PLEOLPS,TREEHOUSE_POLYA_25_01_TCGA_SARC_HISTOLOGY,Treehouse (TCGA-SARC) x GDC primary diagnosis,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-SARC liposarcoma samples split by GDC diagnoses.primary_diagnosis. PMID 24071852.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_sarc_histology_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-SARC liposarcoma samples in one parent liposarcoma disease bucket. This source joins each TCGA sample barcode prefix to the GDC TCGA-SARC diagnoses.primary_diagnosis table and routes well-differentiated, dedifferentiated, and pleomorphic liposarcoma separately. The two-sample PLEOLPS overlay is published as an additional source; the four-sample GSE75885 RNA-seq matrix remains its selected raw source matrix.",34571,2,False
SARC_PLEOLPS,GSE30929_SINGER_2007_LPS,GEO,PMID 22241786 (Singer 2007 MSKCC 140-sample LPS classifier); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,gse30929_singer_2007_lps_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Affymetrix HG-U133A (GPL96) microarray; 140 primary liposarcomas from MSKCC, explicitly histology-tagged via char_subtype: 52 WD-LPS, 40 DD-LPS, 20 pleomorphic, 17 myxoid, 11 myxoid/round-cell. The round-cell variant IS high-grade myxoid LPS (WHO grade III, same FUS::DDIT3 fusion entity), so both collapse to SARC_MYXLPS (n=28). Builds 4 shards from one cohort via sample_include_regex (matched against char_subtype). MYXLPS biology validates: FABP4 2799 / ADIPOQ 917 / PPARG 424 (adipogenic program), FUS+DDIT3 both ~165 (fusion partners both expressed), STAT3 253 + JAK1 207 (FUS-DDIT3/JAK-STAT axis per PMC8851354).",13653,20,False
SARC_RMS_ARMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,73,True
SARC_RMS_ERMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,95,True
SARC_RMS_PRMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,6,True
SARC_RMS_SSRMS,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,8,True
